v_origem,v_destino,bairro,oneway,length,max_speed,num_lotes,casas,industrias,atracoes,comercios
1997,8551,Sants-Montjuïc,True,28.335,30.0,2,3,0,0,1
1997,1998,Sants-Montjuïc,False,560.4750000000001,30.0,28.0,27.0,9,4,16
1998,5254,Sants-Montjuïc,True,56.777,30.0,2,4,0,0,0
1998,1997,Sants-Montjuïc,False,560.4750000000001,30.0,24.0,23.0,9,4,12
1999,5253,Sants-Montjuïc,True,98.024,30.0,2,3,0,0,1
2000,5257,Eixample,False,10.367,30.0,2,3,0,0,1
2000,1999,Eixample,True,192.953,30.0,8.0,10.0,1,0,5
2001,4214,Sants-Montjuïc,True,15.466000000000001,20.0,2,4,0,0,0
2002,1354,Eixample,False,15.734,30.0,2,4,0,0,0
2002,1110,Eixample,False,15.417,30.0,2,3,0,0,1
2002,4161,Eixample,True,91.15,30.0,4.0,5.0,1,0,2
2003,4213,Eixample,False,15.061,30.0,2,3,0,0,1
2003,4216,Sants-Montjuïc,False,15.096,30.0,2,4,0,0,0
2004,4220,Sants-Montjuïc,False,15.375,30.0,2,3,0,0,1
2004,2173,Sants-Montjuïc,False,15.027,30.0,2,4,0,0,0
2004,4194,Eixample,True,90.402,30.0,3.0,4.0,0,0,2
2005,1356,Eixample,True,14.899000000000001,30.0,2,3,0,0,1
2005,4191,Eixample,True,59.260999999999996,30.0,2,3,0,0,1
2006,4154,Eixample,True,92.376,20.0,4.0,7.0,0,0,1
2006,2172,Eixample,True,14.608,30.0,2,3,0,0,1
2007,1357,Eixample,True,57.647999999999996,30.0,2,3,0,0,1
2007,4148,Eixample,True,14.608,20.0,2,3,0,0,1
2008,1733,Eixample,True,74.699,30.0,2,3,0,0,1
2008,2169,Eixample,True,69.176,30.0,3.0,5.0,0,0,1
2009,6874,Eixample,True,160.82799999999997,50.0,7.0,10.0,1,0,3
2009,1724,Eixample,True,18.786,30.0,2,3,0,0,1
2010,1727,Sants-Montjuïc,True,35.938,50.0,2,4,0,0,0
2010,1728,Sants-Montjuïc,True,683.631,50.0,32.0,31.0,8,4,21
2011,2010,Sants-Montjuïc,True,81.25200000000001,50.0,3.0,5.0,0,0,1
2012,5926,Sants-Montjuïc,True,169.365,50.0,6.0,7.0,2,0,3
2012,2011,Sants-Montjuïc,True,16.509999999999998,50.0,2,3,0,0,1
2013,2012,Sants-Montjuïc,True,20.481,50.0,2,3,0,0,1
2014,6486,Sants-Montjuïc,False,55.655,50.0,2,4,0,0,0
2014,6485,Sants-Montjuïc,False,51.737,50.0,2,3,0,0,1
2014,6484,Sants-Montjuïc,False,44.876000000000005,50.0,2,3,0,0,1
2487,1558,Sants-Montjuïc,True,120.453,50.0,6.0,8.0,2,0,2
2487,1373,Sants-Montjuïc,True,58.20400000000001,50.0,2,3,0,0,1
2488,1723,Sants-Montjuïc,True,24.354,50.0,2,3,0,0,1
2488,8663,Sants-Montjuïc,True,41.587,50.0,2,3,0,0,1
2489,2823,Sants-Montjuïc,True,50.007,50.0,2,3,0,0,1
2489,1095,Sants-Montjuïc,True,64.619,50.0,2,3,0,0,1
2490,1996,Eixample,True,174.01100000000002,50.0,5.0,7.0,1,0,2
2490,343,Eixample,True,115.73299999999999,50.0,3.0,5.0,0,0,1
2491,2493,Eixample,True,211.043,50.0,10.0,11.0,3,1,5
2491,400,Eixample,False,145.383,30.0,7.0,7.0,2,0,5
2492,3430,Eixample,True,51.834,50.0,2,3,0,0,1
2492,902,Eixample,True,195.721,50.0,7.0,8.0,1,1,4
2493,4922,Eixample,True,151.432,30.0,4.0,6.0,0,0,2
2493,182,Eixample,True,107.808,50.0,5.0,6.0,1,0,3
2494,2617,Eixample,True,12.051,50.0,2,3,0,0,1
2494,4925,Eixample,True,15.587,50.0,2,3,0,0,1
2495,2492,Eixample,True,124.624,50.0,3.0,4.0,0,0,2
2495,3012,Eixample,True,49.31,50.0,2,3,0,0,1
2496,2497,Eixample,True,108.376,30.0,4.0,5.0,1,0,2
2496,2495,Eixample,True,153.34300000000002,50.0,4.0,6.0,0,0,2
2497,6872,Eixample,True,137.032,50.0,5.0,7.0,1,0,2
2498,2497,Eixample,True,41.504,50.0,2,3,0,0,1
2499,2498,Eixample,True,328.909,30.0,13.0,14.0,2,2,8
2499,2498,Eixample,True,178.85,50.0,8.0,7.0,3,1,5
2500,2501,Eixample,True,132.58299999999997,50.0,4.0,6.0,1,0,1
2500,2989,Eixample,True,150.43699999999998,50.0,4.0,6.0,0,0,2
2501,7166,Eixample,True,19.158,50.0,2,3,0,0,1
2501,5018,Eixample,True,134.541,50.0,5.0,6.0,1,0,3
2519,4615,Eixample,True,133.71500000000003,50.0,4.0,4.0,1,0,3
2519,3187,Eixample,True,18.452,10.0,2,4,0,0,0
2520,2519,Eixample,True,133.494,50.0,5.0,7.0,1,0,2
2520,3190,Eixample,True,18.817,30.0,2,4,0,0,0
2521,2520,Eixample,True,134.584,50.0,5.0,6.0,1,0,3
2521,3194,Eixample,True,148.272,30.0,6.0,8.0,1,0,3
2522,2359,Eixample,True,134.724,50.0,5.0,6.0,1,0,3
2522,3056,Eixample,True,148.755,50.0,5.0,7.0,1,0,2
2860,2861,Sants-Montjuïc,True,123.682,30.0,3.0,5.0,0,0,1
2860,2862,Sants-Montjuïc,True,62.216,30.0,2,3,0,0,1
2862,2863,Sants-Montjuïc,True,120.398,20.0,4.0,7.0,0,0,1
2862,2869,Sants-Montjuïc,True,50.370999999999995,30.0,2,3,0,0,1
2864,2865,Sants-Montjuïc,True,194.619,30.0,8.0,7.0,2,1,6
2864,2893,Eixample,True,101.07000000000001,10.0,4.0,7.0,0,0,1
2866,8391,Sants-Montjuïc,False,155.919,10.0,5.0,6.0,1,0,3
