v_origem,v_destino,bairro,oneway,length,max_speed
4537,21683,Reinickendorf,False,687.4719999999999,50.0
4537,4543,Reinickendorf,False,436.95400000000006,50.0
4537,21674,Reinickendorf,False,240.928,50.0
4538,11980,Reinickendorf,False,17.179,50.0
4538,14339,Reinickendorf,False,171.845,50.0
4538,21683,Reinickendorf,True,103.173,50.0
4539,24025,Reinickendorf,False,45.173,50.0
4539,14342,Reinickendorf,True,51.987,50.0
4540,4541,Reinickendorf,False,237.84900000000005,50.0
4540,21674,Reinickendorf,False,66.692,50.0
4540,14343,Reinickendorf,False,108.035,30.0
4541,21673,Reinickendorf,False,138.331,50.0
4541,4540,Reinickendorf,False,237.849,50.0
4541,16348,Reinickendorf,False,114.982,50.0
4542,24012,Reinickendorf,True,9.453,50.0
4542,16350,Reinickendorf,True,232.54999999999998,50.0
4543,24030,Reinickendorf,True,13.884,50.0
4543,4537,Reinickendorf,False,436.954,50.0
4543,16371,Reinickendorf,True,130.133,50.0
4544,5918,Reinickendorf,True,17.296,50.0
4544,16366,Reinickendorf,True,109.151,50.0
4545,24026,Reinickendorf,False,8.752,25
4545,16383,Reinickendorf,True,108.67699999999998,50.0
4546,16396,Reinickendorf,False,13.212,25
4546,443,Reinickendorf,True,322.802,50.0
4547,24010,Reinickendorf,True,12.214,50.0
4547,16061,Reinickendorf,True,380.95799999999997,50.0
4548,24009,Reinickendorf,False,19.048,50.0
4548,25783,Reinickendorf,True,197.61999999999998,30.0
4549,6093,Reinickendorf,False,11.758,50.0
4549,5806,Reinickendorf,True,210.80499999999998,30.0
4549,16057,Reinickendorf,False,207.025,50.0
23142,9223,Charlottenburg-Wilmersdorf,True,166.632,50.0
23142,23143,Charlottenburg-Wilmersdorf,True,302.682,60.0
23143,180,Spandau,True,355.276,60.0
23144,2161,Spandau,True,159.561,60.0
23144,3820,Reinickendorf,True,1056.127,80.0
23145,8520,Charlottenburg-Wilmersdorf,True,739.3019999999999,60.0
23145,23146,Charlottenburg-Wilmersdorf,True,957.477,60.0
23146,23147,Charlottenburg-Wilmersdorf,True,137.002,60.0
23147,11052,Charlottenburg-Wilmersdorf,True,251.27100000000002,60.0
23147,10744,Charlottenburg-Wilmersdorf,True,256.484,50.0
23368,23374,Reinickendorf,False,32.389,50.0
23368,9912,Reinickendorf,True,254.107,80.0
23368,1116,Reinickendorf,False,88.956,30.0
23369,23148,Reinickendorf,True,141.168,80.0
23369,9374,Reinickendorf,True,263.06899999999996,60.0
23370,12259,Spandau,True,216.041,80.0
23371,23372,Charlottenburg-Wilmersdorf,True,312.56,80.0
23372,23395,Charlottenburg-Wilmersdorf,True,128.55700000000002,60.0
23372,8881,Charlottenburg-Wilmersdorf,True,157.48600000000002,80.0
23373,9911,Reinickendorf,True,217.492,80.0
23374,5833,Reinickendorf,False,250.12000000000003,50.0
23374,23368,Reinickendorf,False,32.388999999999996,50.0
23374,9815,Reinickendorf,True,207.03900000000002,50.0
23377,23378,Steglitz-Zehlendorf,True,518.948,100.0
23377,10743,Steglitz-Zehlendorf,True,259.76,60.0
23378,23145,Steglitz-Zehlendorf,True,3262.632,80.0
