v_origem,v_destino,bairro,oneway,length,max_speed,num_lotes,casas,industrias,atracoes,comercios
5827,3726,Quartiere 3,True,74.189,25,2,3,0,0,1
5828,3724,Quartiere 3,True,100.49000000000001,50.0,3.0,4.0,1,0,1
5829,1162,Quartiere 3,True,45.041,30.0,2,3,0,0,1
5829,2462,Quartiere 3,False,107.29199999999999,50.0,4.0,6.0,1,0,1
5829,1164,Quartiere 3,False,50.916,50.0,2,3,0,0,1
5830,3632,Quartiere 3,False,139.519,25,4.0,6.0,0,0,2
5830,5831,Quartiere 3,False,108.02000000000001,25,4.0,7.0,0,0,1
5830,2462,Quartiere 3,False,41.699,50.0,2,3,0,0,1
5830,4486,Quartiere 3,False,67.377,50.0,2,3,0,0,1
5831,491,Quartiere 3,False,40.159,25,2,3,0,0,1
5831,5830,Quartiere 3,False,108.02000000000001,25,4.0,4.0,1,0,3
5831,157,Quartiere 3,False,69.56,25,2,3,0,0,1
5832,490,Quartiere 3,True,211.99700000000004,25,8.0,11.0,2,0,3
5832,3654,Quartiere 3,True,13.285,25,2,3,0,0,1
5833,5138,Quartiere 3,True,49.269,50.0,2,3,0,0,1
5834,3713,Quartiere 3,False,51.26199999999999,25,2,3,0,0,1
5834,3683,Quartiere 3,True,67.293,25,2,3,0,0,1
5835,689,Quartiere 3,True,196.61700000000002,25,8.0,10.0,2,1,3
5836,3708,Quartiere 3,True,323.73600000000005,25,10.0,12.0,2,1,5
5836,3493,Quartiere 3,True,113.387,25,3.0,5.0,0,0,1
5837,5836,Quartiere 3,True,65.377,25,2,3,0,0,1
5837,5838,Quartiere 3,False,272.113,25,10.0,10.0,3,1,6
5838,5839,Quartiere 3,False,109.813,25,4.0,5.0,1,0,2
5838,5837,Quartiere 3,False,272.113,25,9.0,10.0,2,1,5
5838,489,Quartiere 3,False,131.619,25,4.0,5.0,1,0,2
5839,5840,Quartiere 3,False,41.972,25,2,3,0,0,1
5839,3678,Quartiere 3,True,138.224,25,6.0,7.0,2,0,3
5839,5838,Quartiere 3,False,109.813,25,3.0,5.0,0,0,1
5840,5839,Quartiere 3,False,41.972,25,2,3,0,0,1
5840,3677,Quartiere 3,False,174.91000000000003,25,6.0,7.0,1,0,4
5840,3678,Quartiere 3,False,249.12100000000004,25,9.0,9.0,2,1,6
5841,4105,Quartiere 2,True,91.80099999999999,25,3.0,5.0,0,0,1
5841,4832,Quartiere 2,True,19.027,50.0,2,3,0,0,1
5842,5685,Quartiere 1,True,73.175,50.0,3.0,5.0,0,0,1
5842,5686,Quartiere 1,True,85.083,25,3.0,4.0,1,0,1
5842,1084,Quartiere 1,True,47.222,25,2,3,0,0,1
5843,1653,Quartiere 1,True,34.301,25,2,3,0,0,1
5843,1077,Quartiere 1,True,166.012,25,5.0,7.0,1,0,2
138,139,Quartiere 5,True,550.4949999999999,50.0,21.0,21.0,5,3,13
139,1207,Quartiere 5,True,227.10000000000008,50.0,6.0,8.0,1,0,3
139,1195,Quartiere 5,True,334.739,50.0,11.0,12.0,3,1,6
140,5788,Quartiere 4,True,103.02999999999999,25,3.0,4.0,1,0,1
140,1196,Quartiere 4,True,171.727,50.0,6.0,8.0,1,0,3
507,1093,Quartiere 5,True,59.57,25,2,3,0,0,1
507,1515,Quartiere 5,True,116.66600000000001,25,3.0,5.0,0,0,1
508,1521,Quartiere 5,True,11.925,50.0,2,3,0,0,1
508,507,Quartiere 5,True,80.772,25,2,3,0,0,1
509,1513,Quartiere 5,True,48.39900000000001,25,2,3,0,0,1
510,509,Quartiere 5,True,41.656,25,2,3,0,0,1
511,512,Quartiere 5,True,91.55100000000002,25,3.0,5.0,0,0,1
511,1285,Quartiere 5,True,51.873999999999995,25,2,3,0,0,1
512,1271,Quartiere 5,False,65.892,25,3.0,5.0,0,0,1
512,513,Quartiere 5,True,68.182,25,2,3,0,0,1
513,375,Quartiere 5,True,87.618,25,3.0,5.0,0,0,1
513,514,Quartiere 5,False,215.199,25,8.0,9.0,1,0,6
514,4471,Quartiere 5,False,92.995,25,4.0,6.0,0,0,2
514,513,Quartiere 5,False,215.19899999999998,25,6.0,7.0,1,0,4
515,5541,Quartiere 5,False,18.269,25,2,4,0,0,0
515,2689,Quartiere 5,True,70.311,25,2,3,0,0,1
515,2594,Quartiere 5,False,109.235,25,4.0,5.0,1,0,2
516,2690,Quartiere 5,False,526.828,25,17.0,19.0,4,2,9
516,2645,Quartiere 5,True,68.656,25,2,4,0,0,0
517,261,Quartiere 5,False,113.223,25,3.0,5.0,0,0,1
517,265,Quartiere 5,True,70.893,25,2,3,0,0,1
518,2595,Quartiere 5,True,138.12099999999998,25,4.0,6.0,1,0,1
518,2629,Quartiere 5,False,92.54899999999999,25,3.0,5.0,0,0,1
